height,latitude,longitude
9.843000000000000000e+03,1.787601534037612797e+65,-3.217713725279981315e+64
9.842000000000000000e+03,1.751451219446363116e+65,-3.170068797094158668e+64
9.841000000000000000e+03,1.741849902892253289e+65,-3.159109357095726917e+64
9.840000000000000000e+03,1.778621322057150930e+65,-3.198754226175544802e+64
9.839000000000000000e+03,1.739086973108000873e+65,-3.124406123847273058e+64
9.838000000000000000e+03,1.733958030660299076e+65,-3.123546037510844377e+64
9.837000000000000000e+03,1.690768529374807371e+65,-3.052230275158372726e+64
9.836000000000000000e+03,1.779612496993317914e+65,-3.184579567681051367e+64
9.835000000000000000e+03,1.663125077381878944e+65,-2.987062252902803191e+64
9.834000000000000000e+03,1.697195726388932565e+65,-3.055892459377134303e+64
9.833000000000000000e+03,1.672935629986408856e+65,-3.011951934940366214e+64
9.832000000000000000e+03,1.704036302969193890e+65,-3.065295760392778930e+64
9.831000000000000000e+03,1.638818085321351101e+65,-2.946515393092999074e+64
9.830000000000000000e+03,1.606337832927390434e+65,-2.879556723006148321e+64
9.829000000000000000e+03,1.685125785080617886e+65,-3.002893438604568231e+64
9.828000000000000000e+03,1.601098013004271141e+65,-2.869438706592130539e+64
9.827000000000000000e+03,1.585791335519393725e+65,-2.849823277440419765e+64
9.826000000000000000e+03,1.528101813620368931e+65,-2.754958150320499561e+64
9.825000000000000000e+03,1.573000511885398744e+65,-2.820064826436518724e+64
9.824000000000000000e+03,1.473731475012644865e+65,-2.669642840715450217e+64
9.823000000000000000e+03,1.528752687088057419e+65,-2.746840094743625572e+64
9.822000000000000000e+03,1.513420138405125643e+65,-2.723062450040053820e+64
9.821000000000000000e+03,1.517218422404253064e+65,-2.725565088348552931e+64
9.820000000000000000e+03,1.488531284308363051e+65,-2.680718231245738477e+64
9.819000000000000000e+03,1.534213038042377050e+65,-2.753356251662764225e+64
9.818000000000000000e+03,1.444447717848480697e+65,-2.607669946082079251e+64
9.817000000000000000e+03,1.510215099911277261e+65,-2.709814098573088482e+64
9.816000000000000000e+03,1.417817203244156751e+65,-2.574239792857080464e+64
9.815000000000000000e+03,1.374525949372409288e+65,-2.493396748910364822e+64
9.814000000000000000e+03,1.394348045075287531e+65,-2.508001775124329512e+64
9.813000000000000000e+03,1.429164564920355587e+65,-2.561807594473187779e+64
9.812000000000000000e+03,1.389701344937554833e+65,-2.504800234762937912e+64
9.811000000000000000e+03,1.382283860434826237e+65,-2.496300646204962770e+64
9.810000000000000000e+03,1.385630307684358294e+65,-2.492325410186627564e+64
9.809000000000000000e+03,1.369638849931961561e+65,-2.476175814611357766e+64
9.808000000000000000e+03,1.384666601508422160e+65,-2.495909657132023264e+64
9.807000000000000000e+03,1.287728127661911343e+65,-2.335169643717671406e+64
9.806000000000000000e+03,1.239285706326320996e+65,-2.255269770753866009e+64
9.805000000000000000e+03,1.341162487788594720e+65,-2.400301550504775701e+64
9.804000000000000000e+03,1.290453333276803459e+65,-2.330666710266822781e+64
9.803000000000000000e+03,1.238454601114219666e+65,-2.253831978945311816e+64
9.802000000000000000e+03,1.314451500203901289e+65,-2.356004645071693410e+64
9.801000000000000000e+03,1.294402178998285685e+65,-2.317105709049978897e+64
9.800000000000000000e+03,1.294834905139905435e+65,-2.321804756318030373e+64
9.799000000000000000e+03,1.238182600677133428e+65,-2.234288589773600318e+64
9.798000000000000000e+03,1.239575364796859886e+65,-2.232238857522180755e+64
9.797000000000000000e+03,1.224876811591880572e+65,-2.207796356734439987e+64
9.796000000000000000e+03,1.253462321220302528e+65,-2.242243975545805781e+64
9.795000000000000000e+03,1.221334861376397398e+65,-2.193186178843722509e+64
9.794000000000000000e+03,1.131642542462342293e+65,-2.065268437932457981e+64
9.793000000000000000e+03,1.197131943073588124e+65,-2.146672191856435399e+64
9.792000000000000000e+03,1.246636743809844618e+65,-2.229137815085040519e+64
9.791000000000000000e+03,1.119050505185594757e+65,-2.029077472875680017e+64
9.790000000000000000e+03,1.169150881138693416e+65,-2.108762471888402145e+64
9.789000000000000000e+03,1.157277382565100657e+65,-2.079497739127980045e+64
9.788000000000000000e+03,1.168578237044219766e+65,-2.097203773871566509e+64
9.787000000000000000e+03,1.154280051760641757e+65,-2.066755204441794483e+64
9.786000000000000000e+03,1.126224943105346603e+65,-2.024346576168311734e+64
9.785000000000000000e+03,1.134955285795216497e+65,-2.039575325041732736e+64
9.784000000000000000e+03,1.152237268817929119e+65,-2.057748446327959559e+64
9.783000000000000000e+03,1.143451855114939426e+65,-2.046597349466610506e+64
9.782000000000000000e+03,1.131415554964623471e+65,-2.029664460247197505e+64
9.781000000000000000e+03,1.057949824796404032e+65,-1.916069515358471505e+64
9.780000000000000000e+03,1.072138644833218544e+65,-1.935353183063631172e+64
9.779000000000000000e+03,1.045139358062097085e+65,-1.883426704343941241e+64
9.778000000000000000e+03,9.745427670875022375e+64,-1.785778891416645650e+64
9.777000000000000000e+03,1.050918173352653948e+65,-1.890416042602306334e+64
9.776000000000000000e+03,1.035127841193112742e+65,-1.861376784008424841e+64
9.775000000000000000e+03,1.056790772803951425e+65,-1.892085178106479658e+64
9.774000000000000000e+03,1.059376149452940484e+65,-1.905788908595252981e+64
9.773000000000000000e+03,9.869600063760630362e+64,-1.781226974041258365e+64
9.772000000000000000e+03,9.974016418835965732e+64,-1.794378198330167297e+64
9.771000000000000000e+03,9.563864224484088934e+64,-1.734529600272826678e+64
9.770000000000000000e+03,1.007703349845431007e+65,-1.815719705175096267e+64
9.769000000000000000e+03,9.424728099292667854e+64,-1.701012255116915417e+64
9.768000000000000000e+03,1.011067440126422706e+65,-1.799786585346084982e+64
9.767000000000000000e+03,9.733188700678628901e+64,-1.745813671571759685e+64
9.766000000000000000e+03,9.755080800567464755e+64,-1.751503518692323733e+64
9.765000000000000000e+03,9.393431914081385404e+64,-1.693777634350932710e+64
9.764000000000000000e+03,9.565549817674302671e+64,-1.715918349307158564e+64
9.763000000000000000e+03,9.248722313725668101e+64,-1.668158136706551809e+64
9.762000000000000000e+03,9.468148163172270208e+64,-1.696454081928697886e+64
